<details> <summary> <b>OpenClash new commit log :new: </b>  </summary>

SHA|Author|Date|Message
-|-|-|-
f74a6590|vernesong|Wed Dec 31 22:30:40 2025 +0800|workflow: update compile file
f3c2afd5|vernesong|Wed Dec 31 22:11:09 2025 +0800|0.47.038
8f486ff9|Patrick Gu|Wed Dec 31 03:06:12 2025 +0800|feat: 统一订阅信息展示，多场景展示字段修改为一致 (#4918)
98466370|vernesong|Mon Dec 29 18:11:09 2025 +0800|chore: fake-ip filter add rule mode and fix quick start
579d6fc3|zxl hhyccc|Sun Dec 28 23:00:48 2025 +0800|Fix clearing luci cache. (#4911)
45b78d23|vernesong|Fri Dec 26 09:52:57 2025 +0800|0.47.037
fa4a1e6a|Patrick Gu|Fri Dec 26 09:50:38 2025 +0800|feat: support load subscription from config file and support multiple subscription providers display (#4898)
c64a67a4|vernesong|Mon Dec 22 10:20:23 2025 +0800|chore: refine ruby usage
def16326|vernesong|Sat Dec 13 19:36:38 2025 +0800|0.47.036
95882096|vernesong|Sat Dec 13 19:32:43 2025 +0800|chore: default disable Quic-go GSO if kernel version higher than 6.6
11afc765|vernesong|Sat Dec 13 19:25:51 2025 +0800|chore: remove relay & add Sudoku
3b03849a|vernesong|Fri Dec 12 20:38:58 2025 +0800|chore: theme button add auto mode
43724736|vernesong|Thu Dec 11 16:42:40 2025 +0800|0.47.035
8ca6c878|vernesong|Wed Dec 10 21:30:22 2025 +0800|chore: refine
005f7f46|vernesong|Tue Dec 2 03:33:02 2025 +0800|0.47.034
46a09d3a|vernesong|Tue Dec 2 03:30:13 2025 +0800|chore: plugin toggle status use uci value
656c6b73|vernesong|Sat Nov 29 10:54:22 2025 +0800|chore: rename func declared
f8f28f73|vernesong|Tue Nov 25 22:48:06 2025 +0800|chore: update lhie1 rules
fbb65e79|vernesong|Sun Nov 23 22:33:34 2025 +0800|0.47.033
bc3d9da9|vernesong|Sun Nov 23 22:33:03 2025 +0800|#4851
48ab6bc7|Chemyto|Sun Nov 23 21:56:56 2025 +0800|Add Spanish translation (openclash.es.po) (#4857)
b578a9aa|vernesong|Sun Nov 23 21:41:00 2025 +0800|chore: force enabled ntp server
7a2d925c|vernesong|Sun Nov 23 06:05:30 2025 +0800|0.47.032
4ac124d6|vernesong|Sat Nov 22 14:38:32 2025 +0800|chore: increase upload yaml valid check size
62ad332f|vernesong|Wed Nov 12 09:19:08 2025 +0800|0.47.031
2334d4ec|vernesong|Wed Nov 12 09:18:48 2025 +0800|chore: remove strategy option for smart
aabaacaf|vernesong|Mon Nov 10 16:18:53 2025 +0800|chore: fetch ip info
ada84d51|vernesong|Fri Nov 7 16:43:28 2025 +0800|0.47.030
c46db904|vernesong|Wed Nov 5 20:34:44 2025 +0800|chore: codes clean
76955df4|vernesong|Wed Nov 5 19:54:10 2025 +0800|chore: log clean
d1661583|vernesong|Tue Nov 4 20:23:44 2025 +0800|0.47.029
49baab2f|vernesong|Tue Nov 4 20:09:47 2025 +0800|chore: package remove yacd & dashboard default
3a6ec5f5|vernesong|Tue Nov 4 19:28:37 2025 +0800|chore: dark mode theme
24f8a812|vernesong|Tue Nov 4 10:52:20 2025 +0800|#4830
</details>
