<details> <summary> <b>luci new commit log :new: </b>  </summary>

SHA|Author|Date|Message
-|-|-|-
84e41b4c57|Tianling Shen|Tue Jan 13 16:08:55 2026 +0800|Merge Official Source
c5e5406d41|SakuraFallingMad|Sat Jan 3 20:23:50 2026 +0800|luci-app-passwall: bump to 26.1.13
2eb0501b38|Dirk Brenken|Mon Jan 12 23:04:39 2026 +0100|luci-app-banip: sync with banIP-1.8.0-1
9e4d87003c|Florian Eckert|Mon Jan 12 08:32:31 2026 +0100|Merge pull request #8208 from TDT-AG/pr/20260109-luci-app-mwan3
688008b696|Konstantin Glukhov|Thu Jan 8 17:38:21 2026 +0900|luci-mod-status: aid DNS lookups with /etc/ethers
2a84e490e1|Paul Donald|Mon Jan 12 01:36:35 2026 +0100|luci-base: amend ZoneSelect widget datatype
4de4296642|Paul Donald|Sun Jan 11 23:35:42 2026 +0100|luci-mod-network: add PIO flag management
bf040b1f5c|Hosted Weblate|Sun Jan 11 12:13:49 2026 +0100|Translated using Weblate (Lithuanian)
5ad9c3609e|Liangbin Lian|Fri Jan 9 02:25:11 2026 +0800|luci-base: rpc: fix luci/getMountPoints crash
110eecb9e1|Florian Eckert|Thu Oct 30 16:15:51 2025 +0100|luci-app-mwan3: split ACL into status and config
1243d8023a|Florian Eckert|Thu Oct 30 16:14:31 2025 +0100|luci-app-mwan3: delete additional mwan3 load call
a02b048984|Florian Eckert|Thu Oct 30 16:11:01 2025 +0100|luci-app-mwan3: adjust json formating
b258d7a248|Stan Grishin|Thu Jan 8 18:04:43 2026 -0800|Merge pull request #8186 from stangri/master-luci-app-pbr
f468773cce|Stan Grishin|Thu Jan 8 18:04:15 2026 -0800|Merge pull request #8201 from stangri/master-luci-app-https-dns-proxy
3a5fde8815|Stan Grishin|Thu Jan 8 18:03:17 2026 -0800|Merge pull request #7919 from stangri/master-luci-app-advanced-reboot
e5ff2bad84|Hosted Weblate|Thu Jan 8 10:07:11 2026 +0100|Translated using Weblate (Korean)
4979338bbb|Stan Grishin|Thu Jan 8 03:30:01 2026 +0000|luci-app-https-dns-proxy: update to 2025-12-29-1
93b92f944a|Stan Grishin|Sun Aug 24 02:11:28 2025 +0000|luci-app-advanced-reboot: update to 1.1.1
6ebcfe66ec|novenary enneagon|Mon Jan 5 15:11:46 2026 +0200|luci-base: clean overlooked files
64e8a43cc3|qianxu|Tue Jan 6 18:48:15 2026 +0800|luci-mod-status: fix incorrect unit for port speed
44c934efec|Paul Donald|Tue Jan 6 04:08:55 2026 +0100|luci-mod-network: fill set tag fields with available tags
5a5506931b|Stan Grishin|Mon Jan 5 11:03:32 2026 -0800|Merge pull request #8192 from stangri/master-luci-app-adblock-fast
6efab6839b|Hosted Weblate|Mon Jan 5 06:35:50 2026 +0100|Translated using Weblate (Spanish)
63113daa5a|Stan Grishin|Sun Jan 4 19:29:18 2026 +0000|luci-app-adblock-fast: update to 1.2.0-26
0d55a89cb2|Paul Donald|Sat Jan 3 17:51:59 2026 +0100|luci-theme-openwrt: fix CSS error
1ce137b6ca|Stan Grishin|Sat Jan 3 01:26:09 2026 +0000|luci-app-pbr: upgrade to 1.2.1-45
</details>
