<details> <summary> <b>packages new commit log :new: </b>  </summary>

SHA|Author|Date|Message
-|-|-|-
12d234f97|Tianling Shen|Sat Oct 25 01:59:19 2025 +0800|Merge Official Source
e44872cce|Tianling Shen|Fri Oct 24 21:50:10 2025 +0800|Node.js: sync with upstream source
0201efd63|Fabian Zimmermann|Wed Oct 22 11:50:57 2025 +0200|ddns-script: removes linefeed which causes 401 err
59465b95b|Noah Meyerhans|Wed Oct 22 16:29:11 2025 -0400|bind: bump to 9.20.15
cf4021342|Dirk Brenken|Wed Oct 22 20:59:16 2025 +0200|travelmate: update 2.2.1-3
480d14932|Tianling Shen|Tue Oct 21 13:52:54 2025 +0800|cloudreve: Update to 4.9.2
5fad7b441|Tianling Shen|Wed Oct 22 23:23:10 2025 +0800|dnsproxy: Update to 0.77.0
b5d9b7cf9|Josef Schlehofer|Tue Oct 21 22:42:41 2025 +0200|syslog-ng: update to version 4.10.2
f182a567a|Josef Schlehofer|Wed Oct 22 02:20:02 2025 +0200|python-hatch-requirements-txt: bump to 0.4.1
7ef10e036|Robert Marko|Tue Oct 21 14:25:38 2025 +0200|mhz: update to latest version
49dbbf0dc|Tianling Shen|Tue Oct 21 13:49:06 2025 +0800|dos2unix: Update to 7.5.3
</details>
