<details> <summary> <b>packages new commit log :new: </b>  </summary>

SHA|Author|Date|Message
-|-|-|-
ac4f614df|Rui Salvaterra|Wed Nov 12 13:54:35 2025 +0000|tor: update to 0.4.8.21 stable
3cc97c318|Yanase Yuki|Wed Nov 26 20:47:04 2025 +0900|esniper: remove package
1f78d9d7a|Austin Lane|Wed Nov 19 19:58:40 2025 -0500|python-pypubsub: switch to PyPi sdist
2201690cd|Austin Lane|Wed Nov 26 06:09:18 2025 -0500|python-chardet: fix build (depend on setuptools)
485dee2b0|Austin Lane|Tue Nov 25 17:54:48 2025 -0500|python-certifi: fix build (depend on setuptools)
d2d56d216|Alexandru Ardelean|Tue Nov 25 14:14:40 2025 +0200|python-curl: bump to version 7.45.7
00204af37|Ioan Bobar|Mon Nov 10 10:15:29 2025 +0200|python-idna: bump to version 3.11
5144398d1|George Sapkin|Wed Nov 26 02:48:10 2025 +0200|Revert "tar: fix EXTRA_DEPENDS"
1f0a1f9f2|Rosen Penev|Tue Nov 25 16:07:47 2025 -0800|ola: fix compilation with newer liblo
6377a6e8b|Rosen Penev|Tue Nov 25 15:42:01 2025 -0800|liblo: fix pkgconf file
12d23c8e9|Austin Lane|Tue Nov 25 14:45:54 2025 -0500|python-urllib3: fix builds with setuptools-scm 9.x
d0f1c668c|Christian Marangi|Wed Nov 26 02:46:32 2025 +0100|perl-www-curl: fix compilation error with new cURL version
0028a5434|Christian Marangi|Wed Nov 26 02:26:06 2025 +0100|netopeer2: fix install path for netopeer2-server
</details>
